Region,city,facility_ID,Facilitylicensingtypearname,Facilityclassificationtypearname,Floorscount,RegularRoomsCount,Regularsuitescount,DeluxeSuitesCount,ParkingsCount
0x2B9EF58D376B99838B5C594123836DEB,0xB8C71C56DEC62D7F3F6B28E2686D29B7,2288,وحدات سكنية مفروشة,درجة رابعة,3,22,25,10,10
0x50AF8B3517DD18265275800816D863F9,0xE05D27F203D01B64D076A65AC5DC797F,2289,وحدات سكنية مفروشة,درجة ثانية,4,21,47,11,47
0x50AF8B3517DD18265275800816D863F9,0x6E90A46C1BA204D5D0934162F4730A2C,2290,وحدات سكنية مفروشة,درجة رابعة,5,0,31,0,16
0x50AF8B3517DD18265275800816D863F9,0x6E90A46C1BA204D5D0934162F4730A2C,2291,وحدات سكنية مفروشة,درجة رابعة,2,0,36,0,40
0x50AF8B3517DD18265275800816D863F9,0x3AB7FAFD4F22EF947C8D126A7BB1594B,2292,وحدات سكنية مفروشة,درجة ثالثة,3,2,12,2,15
0x50AF8B3517DD18265275800816D863F9,0x6E90A46C1BA204D5D0934162F4730A2C,2293,وحدات سكنية مفروشة,درجة ثالثة,5,8,38,9,45
0xFF0D21557DC36EEF691F12D93326C1BF,0x68F56387F887D1F23BFFED0EB237D652,2294,وحدات سكنية مفروشة,درجة ثالثة,3,0,15,2,12
0x803149F1E368CB2182E737150D71BA0D,0x88F16E4947EF801559AEDEA8FA07E290,2295,فندق,ثلاثة نجوم,4,34,15,0,34
0x803149F1E368CB2182E737150D71BA0D,0x84176755CDB37ABD0502494DE9D765C6,2296,وحدات سكنية مفروشة,درجة رابعة,3,6,24,3,15
0x803149F1E368CB2182E737150D71BA0D,0xB38C1B9F71F46D5467F0A87AAFAB03FD,2297,وحدات سكنية مفروشة,درجة رابعة,5,0,22,5,12
0x803149F1E368CB2182E737150D71BA0D,0x791C60EACEDD52F3412DCF4C08212814,2298,وحدات سكنية مفروشة,درجة رابعة,4,13,7,25,18
0x803149F1E368CB2182E737150D71BA0D,0xAC6ABD64BFFB8ECFE77AD53379D6C25F,2299,وحدات سكنية مفروشة,درجة رابعة,4,11,36,5,25
0x803149F1E368CB2182E737150D71BA0D,0x88F80B299BDE5EF9F72DF50AF89BE084,2300,وحدات سكنية مفروشة,درجة رابعة,5,0,33,0,33
0x803149F1E368CB2182E737150D71BA0D,0x88F80B299BDE5EF9F72DF50AF89BE084,2301,وحدات سكنية مفروشة,درجة رابعة,3,15,33,18,33
0x803149F1E368CB2182E737150D71BA0D,0x5DE6C79EF8DAED72FBDA6897BC6D01CF,2302,وحدات سكنية مفروشة,درجة ثالثة,3,16,19,6,45
0xF49CCC680A29B6B3C19B1F6A05E16157,0x938E11DD697CA7E3D678DBC44D852CBE,2303,وحدات سكنية مفروشة,درجة رابعة,4,12,8,8,25
0xF49CCC680A29B6B3C19B1F6A05E16157,0x7F510B0C3077BDFD72826F4B73F9BB00,2304,وحدات سكنية مفروشة,درجة رابعة,4,22,6,2,18
0xF49CCC680A29B6B3C19B1F6A05E16157,0x3994AA53F0DD2E44152334E50153D971,2305,وحدات سكنية مفروشة,درجة رابعة,3,30,0,0,10
0xF49CCC680A29B6B3C19B1F6A05E16157,0x7F510B0C3077BDFD72826F4B73F9BB00,2306,وحدات سكنية مفروشة,درجة رابعة,3,6,6,6,10
0xF49CCC680A29B6B3C19B1F6A05E16157,0xB47EC74C1A46911FBEBF491AE205FB60,2307,وحدات سكنية مفروشة,درجة ثانية,5,5,25,0,20
0xF49CCC680A29B6B3C19B1F6A05E16157,0x3E949F40A48469D965333CEDA45F3804,2308,وحدات سكنية مفروشة,درجة ثانية,4,9,15,2,20
0xF49CCC680A29B6B3C19B1F6A05E16157,0x7F510B0C3077BDFD72826F4B73F9BB00,2309,وحدات سكنية مفروشة,درجة ثانية,5,3,39,0,10
0xF49CCC680A29B6B3C19B1F6A05E16157,0x3E949F40A48469D965333CEDA45F3804,2310,وحدات سكنية مفروشة,درجة رابعة,4,10,5,2,8
0xF49CCC680A29B6B3C19B1F6A05E16157,0x5EF2AC9662D6047B7484E6B02DB06A66,2311,وحدات سكنية مفروشة,درجة ثالثة,4,46,16,0,9
0x9351116F8E9D50190BB897B2EF710D5B,0xFFB67B4201D34AF58551829CE1BF276E,2312,فندق,نجمتان,3,14,22,19,60
0x9351116F8E9D50190BB897B2EF710D5B,0xAC942048C8C08B7E148F2C992133F22C,2313,وحدات سكنية مفروشة,درجة رابعة,4,0,8,4,16
0x9351116F8E9D50190BB897B2EF710D5B,0x9CC7F95AD0F125F83EB8E37B27D46C45,2315,وحدات سكنية مفروشة,درجة رابعة,4,10,10,0,13
0x9351116F8E9D50190BB897B2EF710D5B,0x9CC7F95AD0F125F83EB8E37B27D46C45,2316,وحدات سكنية مفروشة,درجة ثالثة,4,0,16,0,8
0x9351116F8E9D50190BB897B2EF710D5B,0xA2A253D8746D8204BE0FCC7CB5F3288D,2317,وحدات سكنية مفروشة,درجة ثالثة,5,0,26,0,26
0x9351116F8E9D50190BB897B2EF710D5B,0x9CC7F95AD0F125F83EB8E37B27D46C45,2318,وحدات سكنية مفروشة,درجة ثالثة,3,3,30,0,32
0x9351116F8E9D50190BB897B2EF710D5B,0x9CC7F95AD0F125F83EB8E37B27D46C45,2319,وحدات سكنية مفروشة,درجة ثانية,5,13,6,20,40
0x9351116F8E9D50190BB897B2EF710D5B,0xA2A253D8746D8204BE0FCC7CB5F3288D,2320,وحدات سكنية مفروشة,درجة ثالثة,4,25,45,20,20
0xF05A01614FFEA96C2D5844A0171AC09D,0xA92BFA11323877E9171133091809C256,2321,وحدات سكنية مفروشة,درجة رابعة,4,19,27,3,3
0x685E31AF317A2CD0F6114C6C926FCDF7,0xD554F6CFB63005465F263F4F2056BA20,2322,فندق,نجمة واحدة,3,15,1,1,18
0x685E31AF317A2CD0F6114C6C926FCDF7,0xE4900FFC13DED9AEA1E392FCCCC4B5FC,2323,وحدات سكنية مفروشة,درجة رابعة,3,7,18,2,1
